customerID,risk_score,ensemble_probability,gb_probability,rf_probability,lr_probability,risk_level,monthly_revenue,annual_revenue_risk,tenure_months,contract_type,payment_method,actual_churn,priority_rank,churn_drivers,recommended_action
7216-EWTRS,94.0,0.9397,0.9271,0.9548,0.9485,Critical,100.8,1209.6,1,Month-to-month,Electronic check,1,1,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
5178-LMXOP,93.5,0.935,0.9128,0.9624,0.9496,Critical,95.1,1141.2,1,Month-to-month,Electronic check,1,2,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
9300-AGZNL,93.2,0.9324,0.9089,0.9573,0.9536,Critical,94.0,1128.0,1,Month-to-month,Electronic check,1,3,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
9497-QCMMS,93.0,0.9304,0.9014,0.9625,0.9548,Critical,93.55,1122.6,1,Month-to-month,Electronic check,1,4,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
8149-RSOUN,92.8,0.9281,0.9085,0.9497,0.9448,Critical,93.85,1126.2,1,Month-to-month,Electronic check,1,5,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
4910-GMJOT,92.8,0.9276,0.9079,0.9507,0.9423,Critical,94.6,1135.2,1,Month-to-month,Electronic check,1,6,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
0295-PPHDO,92.6,0.9257,0.9054,0.9507,0.9387,Critical,95.45,1145.4,1,Month-to-month,Electronic check,1,7,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
5192-EBGOV,91.8,0.9177,0.893,0.9456,0.9374,Critical,85.7,1028.4,1,Month-to-month,Electronic check,1,8,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
5419-JPRRN,91.7,0.9167,0.9017,0.9294,0.9354,Critical,101.45,1217.4,1,Month-to-month,Electronic check,1,9,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
8775-LHDJH,91.5,0.9147,0.8889,0.9515,0.9242,Critical,90.6,1087.2,1,Month-to-month,Electronic check,1,10,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
3068-OMWZA,91.4,0.9144,0.8798,0.9529,0.9433,Critical,88.8,1065.6,1,Month-to-month,Electronic check,1,11,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
1069-XAIEM,91.4,0.9135,0.8893,0.9371,0.9387,Critical,85.05,1020.6,1,Month-to-month,Electronic check,1,12,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
4826-XTSOH,91.2,0.9117,0.8798,0.9501,0.9341,Critical,86.05,1032.6,1,Month-to-month,Electronic check,1,13,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
0107-YHINA,91.2,0.9121,0.9,0.9214,0.9283,Critical,99.75,1197.0,1,Month-to-month,Electronic check,1,14,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
4822-RVYBB,91.0,0.91,0.8833,0.9352,0.9391,Critical,100.6,1207.2,8,Month-to-month,Electronic check,1,15,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
6861-XWTWQ,91.0,0.9101,0.8818,0.9356,0.9428,Critical,99.25,1191.0,7,Month-to-month,Electronic check,1,16,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
9305-CDSKC,90.9,0.9089,0.887,0.9308,0.9311,Critical,99.65,1195.8,8,Month-to-month,Electronic check,1,17,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
7024-OHCCK,90.8,0.9084,0.868,0.9465,0.9523,Critical,93.85,1126.2,2,Month-to-month,Electronic check,1,18,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
6567-HOOPW,90.8,0.9076,0.8852,0.9353,0.9222,Critical,79.2,950.4,1,Month-to-month,Electronic check,1,19,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
9681-OXGVC,90.7,0.9067,0.8796,0.9344,0.9331,Critical,100.5,1206.0,5,Month-to-month,Electronic check,1,20,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
1374-DMZUI,90.7,0.9065,0.8723,0.9338,0.951,Critical,94.3,1131.6,4,Month-to-month,Electronic check,1,21,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
6894-LFHLY,90.7,0.9066,0.8848,0.9355,0.9177,Critical,75.75,909.0,1,Month-to-month,Electronic check,1,22,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
8580-AECUZ,90.6,0.9062,0.8822,0.936,0.9216,Critical,79.1,949.2,1,Month-to-month,Electronic check,1,23,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
9248-OJYKK,90.6,0.9061,0.8848,0.9359,0.9144,Critical,76.45,917.4,1,Month-to-month,Electronic check,1,24,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
4424-TKOPW,90.6,0.9065,0.8618,0.9497,0.9532,Critical,93.85,1126.2,2,Month-to-month,Electronic check,1,25,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
3988-RQIXO,90.6,0.9063,0.8769,0.9386,0.9313,Critical,91.3,1095.6,1,Month-to-month,Electronic check,1,26,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
9282-IZGQK,90.4,0.904,0.8802,0.9289,0.9259,Critical,85.0,1020.0,1,Month-to-month,Electronic check,1,27,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
4912-PIGUY,90.4,0.9038,0.883,0.9221,0.9286,Critical,84.6,1015.2,1,Month-to-month,Electronic check,0,28,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
0723-DRCLG,90.3,0.9033,0.8817,0.9263,0.923,Critical,74.45,893.4,1,Month-to-month,Electronic check,1,29,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
5150-ITWWB,90.3,0.9035,0.8668,0.9331,0.9508,Critical,94.85,1138.2,3,Month-to-month,Electronic check,0,30,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
4988-IQIGL,90.3,0.9027,0.8785,0.9318,0.9195,Critical,75.35,904.2,1,Month-to-month,Electronic check,1,31,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
4102-OQUPX,90.3,0.9025,0.8785,0.9294,0.9222,Critical,74.4,892.8,1,Month-to-month,Electronic check,1,32,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
2609-IAICY,90.2,0.9024,0.8912,0.9267,0.894,Critical,77.15,925.8,1,Month-to-month,Electronic check,1,33,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
3551-HUAZH,90.2,0.9024,0.8785,0.9281,0.9236,Critical,74.4,892.8,1,Month-to-month,Electronic check,1,34,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
5567-WSELE,90.2,0.9021,0.8558,0.9487,0.948,Critical,94.6,1135.2,3,Month-to-month,Electronic check,1,35,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
5240-IJOQT,90.2,0.9022,0.8785,0.9281,0.9224,Critical,74.7,896.4,1,Month-to-month,Electronic check,1,36,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
6023-YEBUP,90.1,0.9014,0.8793,0.9156,0.9353,Critical,100.95,1211.4,3,Month-to-month,Electronic check,1,37,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
6857-VWJDT,90.1,0.9006,0.8903,0.926,0.8884,Critical,95.65,1147.8,1,Month-to-month,Mailed check,1,38,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
6521-YYTYI,90.0,0.9003,0.8697,0.929,0.9337,Critical,93.3,1119.6,1,Month-to-month,Electronic check,1,39,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
8098-LLAZX,90.0,0.9001,0.8551,0.9443,0.9464,Critical,95.45,1145.4,4,Month-to-month,Electronic check,1,40,Month-to-month contract | Manual payment method | New customer (0-12 months),Personal call within 24 hours. Offer 40% discount on annual plan upgrade. Escalate to senior retention specialist.
